iter	Passed	Remaining
1463	69995	717
1464	70042	669
1465	70092	621
1466	70141	573
1467	70197	526
1468	70242	478
1469	70298	430
1470	70352	382
1471	70406	334
1472	70464	287
1473	70523	239
1474	70573	191
1475	70620	143
1476	70671	95
1477	70728	47
1478	70774	0
