iter	Accuracy	MultiClass
531	0.890893747	0.340626091
532	0.8909339335	0.3404145626
533	0.8909339335	0.3403020484
534	0.8909741199	0.3402552296
535	0.8909741199	0.3401584132
536	0.8910343996	0.3400830243
537	0.8910544928	0.3399432743
538	0.8910946793	0.3398386874
539	0.8910544928	0.3396575344
540	0.8911147725	0.3394834454
541	0.8911147725	0.3393910244
542	0.8911750522	0.339286516
543	0.891154959	0.3392466435
544	0.8910544928	0.3391038717
545	0.8911348658	0.3389236212
546	0.891154959	0.3386452201
547	0.891154959	0.3385416928
548	0.8912755184	0.338357361
549	0.8912956116	0.3382942164
550	0.8913157049	0.3381986558
551	0.8913759846	0.3381487367
552	0.8913960778	0.3380587096
553	0.8914563575	0.3379773163
554	0.8914563575	0.3379171543
555	0.8916773831	0.3377631586
556	0.8915970101	0.3376458565
557	0.8915970101	0.3376133227
558	0.8916371966	0.3375640707
559	0.8917175695	0.3374756527
560	0.8917778492	0.337429344
561	0.8916773831	0.3372994052
562	0.8916773831	0.3372324147
563	0.8916171034	0.3371744111
564	0.8915769169	0.3370986298
565	0.8916171034	0.3370463953
566	0.8916773831	0.3368853355
567	0.8916572898	0.3367234515
568	0.8917175695	0.3366503781
569	0.8917778492	0.3365255803
570	0.8917376628	0.33643104
571	0.891757756	0.3363656585
572	0.8918582222	0.3362564016
573	0.8919385951	0.3360785451
574	0.8918783154	0.336015322
575	0.8919586883	0.3359119125
576	0.8919787815	0.3358624251
577	0.8918582222	0.3357347624
578	0.8918783154	0.3356533299
579	0.8918582222	0.3355982697
580	0.8918180357	0.3355441907
581	0.8918582222	0.3354880709
582	0.8919586883	0.3354524761
583	0.892018968	0.3353632731
584	0.8919385951	0.3352999716
585	0.892018968	0.3351884777
586	0.8920591545	0.3351539424
587	0.8920792477	0.3350965668
588	0.8920390612	0.3350283597
589	0.892018968	0.3349446117
590	0.8920591545	0.3348014867
591	0.8920792477	0.3347201719
592	0.8922199003	0.3346368164
593	0.8921596206	0.3345713172
594	0.8923002733	0.334501344
595	0.8924409259	0.3343688935
596	0.8924208327	0.3343220355
597	0.8924811124	0.3342194501
598	0.8925614853	0.3341918612
599	0.8925815785	0.3340897467
600	0.8925413921	0.3340055278
601	0.8925212988	0.3339076126
602	0.8925212988	0.3338027903
603	0.8925413921	0.3337118605
604	0.8925815785	0.3336533076
605	0.8927423244	0.3334546907
606	0.8927624176	0.3333727087
607	0.8928026041	0.3332790319
608	0.8927624176	0.3332067826
609	0.8927825109	0.3330897552
610	0.8928226973	0.3330359901
611	0.8927825109	0.332973395
612	0.8927423244	0.3327457763
613	0.8927825109	0.3326929139
614	0.8927624176	0.3326679543
615	0.8928427905	0.3326435049
616	0.8928226973	0.3325193743
617	0.892882977	0.3324550916
618	0.8929432567	0.3324087438
619	0.8929432567	0.3323465018
620	0.8929030702	0.3323148707
621	0.8928628838	0.33224517262622	0.8929633499	0.33219172162623	0.8929432567	0.33214482362624	0.8929432567	0.33210373462625	0.8929432567	0.33208540762626	0.8929030702	0.33200126762627	0.8930236296	0.33189071562628	0.8931040026	0.3318318096629	0.8931040026	0.33169610126630	0.8931240958	0.33168303276631	0.8931642823	0.33162832576632	0.8931642823	0.33155658666633	0.8932647484	0.331423312
634	0.8932044687	0.33136193346635	0.8931843755	0.33132339526636	0.8932044687	0.331245534
637	0.8932044687	0.3311421637
638	0.8933049349	0.3309938976
639	0.8932044687	0.3309438608
640	0.8932044687	0.3308196124
641	0.8932044687	0.33078256642642	0.8932647484	0.33071412643643	0.8933451214	0.33057755644644	0.8934254943	0.3304844645	645	0.8935058672	0.330395646	0646	0.8935058672	0.330317647	647	0.8936063334	0.3302555648	648	0.8936666131	0.3300893649649	0.8936465199	0.32993888650650	0.8936063334	0.32983810651651	0.8937067995	0.32976456652652	0.8937670792	0.32972869653653	0.8938474522	0.32962657654654	0.8938474522	0.32950448655655	0.8938273589	0.32945276656656	0.8939479183	0.32936552657657	0.8939881048	0.32925493658658	0.8940483845	0.3291324659659	0.8939881048	0.32901689660660	0.8940282913	0.3289517066661	0.894008198	0.32877324226662	0.894008198	0.3286964209
663	0.8940282913	0.3285991336
664	0.8941890371	0.3285219983
665	0.8942091304	0.328445491
666	0.8942091304	0.3283697097
667	0.8942493168	0.328227448
668	0.8942493168	0.3280490028
669	0.8943296898	0.3279946687
670	0.894349783	0.3279260495
671	0.8943698762	0.3278755025
672	0.8943899695	0.3277766846
673	0.8944100627	0.327741855
674	0.8944703424	0.3277134027
675	0.8943698762	0.3276404862
676	0.8943698762	0.3275968266
677	0.8943698762	0.3275337802
678	0.8943899695	0.3274665738
679	0.8944100627	0.3274331767
